VPAT Category,Credly Status,Cipher-Tube Status,Gap,Required Action
WCAG 1.1–1.4,Partial,Mostly Pass,Minor,Add ARIA labels; verify contrast
WCAG 2.1 Keyboard,Pass,Pass,None,Maintain deterministic tab order
WCAG 2.2 Timing,Partial,Unknown,Medium,Add timeout warnings/extend
WCAG 2.3 Seizures,Pass,Pass,None,No flashing content
WCAG 2.4 Navigation,Partial,Mostly Pass,Minor,Ensure focus visibility
WCAG 3.1–3.3 Input,Partial,Partial,Medium,Improve error messaging
WCAG 4.1 Compatibility,Partial,Partial,Medium,Add ARIA roles; names; values
Section 502 Software,Partial,Partial,Medium,Ensure OS accessibility integration
Section 602 Documentation,Fail,Fail,High,Produce accessible docs
Section 603 Support,Fail,Fail,High,Add accessible support channels
